emotion,scene,action,light,preference
neutral,idle,pat_pat,red,0
neutral,study,keep_still,red,0
happy,study,keep_still,white,0
neutral,idle,keep_still,blue,-1
neutral,gaming,dance,yellow,-1
sad,study,keep_still,white,0
happy,idle,sing,blue,-1
happy,gaming,dance,blue,-1
neutral,gaming,keep_still,blue,1
sad,study,keep_still,yellow,0
neutral,idle,pat_pat,red,0
sad,gaming,sing,blue,1
sad,idle,keep_still,blue,0
happy,gaming,dance,white,0
sad,study,pat_pat,red,0
happy,gaming,dance,yellow,0
neutral,gaming,dance,red,-1
happy,study,pat_pat,red,0
neutral,idle,sing,blue,0
sad,study,sing,blue,1
sad,idle,keep_still,red,-1
happy,study,pat_pat,red,0
sad,gaming,pat_pat,yellow,1
happy,study,pat_pat,red,0
happy,idle,pat_pat,red,0
neutral,study,sing,red,0
neutral,study,keep_still,red,0
sad,study,sing,red,-1
sad,idle,dance,red,-1
happy,study,sing,red,1
neutral,idle,dance,blue,1
neutral,study,keep_still,yellow,0
neutral,gaming,sing,blue,0
neutral,gaming,sing,blue,0
happy,idle,pat_pat,red,0
sad,study,keep_still,blue,1
neutral,study,sing,red,0
neutral,idle,sing,red,0
sad,study,pat_pat,yellow,1
sad,gaming,pat_pat,yellow,1
happy,study,pat_pat,red,0
happy,gaming,pat_pat,white,-1
neutral,idle,keep_still,red,-1
happy,study,pat_pat,red,0
happy,idle,sing,yellow,0
neutral,idle,pat_pat,yellow,0
sad,gaming,sing,red,-1
happy,gaming,pat_pat,white,-1
neutral,gaming,dance,red,-1
happy,idle,keep_still,blue,-1
neutral,idle,pat_pat,blue,0
sad,gaming,keep_still,blue,1
neutral,idle,keep_still,red,-1
happy,idle,sing,white,0
sad,gaming,pat_pat,yellow,1
happy,gaming,keep_still,white,1
neutral,idle,sing,red,0
happy,study,keep_still,blue,-1
happy,study,sing,blue,-1
neutral,study,sing,white,0
neutral,study,dance,blue,0
sad,gaming,keep_still,red,0
happy,gaming,pat_pat,yellow,-1
happy,idle,pat_pat,red,0
neutral,gaming,dance,yellow,-1
happy,study,keep_still,white,0
neutral,gaming,pat_pat,blue,0
sad,study,sing,white,0
happy,study,dance,white,1
neutral,gaming,keep_still,yellow,1
sad,study,sing,white,0
sad,gaming,keep_still,red,0
happy,gaming,dance,blue,-1
neutral,idle,keep_still,blue,-1
neutral,idle,dance,white,1
sad,study,dance,yellow,-1
happy,study,pat_pat,blue,-1
sad,study,dance,yellow,-1
happy,idle,sing,white,0
happy,idle,pat_pat,red,0
sad,idle,keep_still,yellow,-1
sad,study,pat_pat,red,0
happy,study,pat_pat,yellow,-1
happy,idle,pat_pat,blue,-1
neutral,idle,pat_pat,white,0
sad,gaming,dance,yellow,-1
sad,study,pat_pat,red,0
happy,gaming,pat_pat,blue,-1
sad,study,pat_pat,white,1
happy,idle,dance,red,1
neutral,gaming,keep_still,red,1
sad,gaming,sing,blue,1
neutral,idle,sing,blue,0
neutral,gaming,pat_pat,white,0
neutral,study,pat_pat,white,0
neutral,study,pat_pat,blue,0
neutral,study,sing,red,0
neutral,study,sing,yellow,0
sad,study,sing,blue,1
sad,study,dance,yellow,-1
happy,study,keep_still,red,1
happy,idle,pat_pat,yellow,-1
neutral,study,dance,red,0
happy,gaming,pat_pat,white,-1
sad,idle,keep_still,yellow,-1
happy,gaming,keep_still,red,1
sad,gaming,sing,white,0
happy,idle,dance,white,1
sad,gaming,keep_still,blue,1
neutral,study,keep_still,blue,0
neutral,study,pat_pat,yellow,0
neutral,gaming,sing,white,0
happy,idle,sing,yellow,0
happy,idle,sing,red,1
sad,idle,keep_still,white,-1
sad,gaming,dance,yellow,-1
happy,gaming,dance,red,1
sad,idle,keep_still,yellow,-1
neutral,idle,pat_pat,yellow,0
sad,study,dance,blue,0
neutral,idle,dance,blue,1
neutral,gaming,keep_still,yellow,1
sad,gaming,dance,red,-1
sad,gaming,keep_still,red,0
happy,study,sing,white,0
sad,gaming,sing,white,0
sad,study,keep_still,white,0
happy,gaming,keep_still,white,1
sad,gaming,pat_pat,white,1
neutral,gaming,pat_pat,red,0
sad,gaming,sing,red,-1
neutral,gaming,dance,red,-1
neutral,study,dance,red,0
sad,gaming,pat_pat,red,0
neutral,study,pat_pat,blue,0
neutral,idle,dance,red,1
happy,idle,pat_pat,blue,-1
sad,study,pat_pat,red,0
sad,gaming,sing,white,0
happy,gaming,pat_pat,red,0
neutral,gaming,keep_still,red,1
neutral,idle,dance,yellow,1
neutral,gaming,sing,blue,0
neutral,gaming,pat_pat,red,0
sad,gaming,sing,red,-1
sad,gaming,pat_pat,blue,1
happy,study,dance,blue,0
happy,study,keep_still,red,1
neutral,study,dance,yellow,0
sad,study,dance,blue,0
sad,gaming,pat_pat,blue,1
happy,idle,dance,white,1
neutral,idle,pat_pat,yellow,0
sad,study,dance,white,-1
happy,idle,sing,blue,-1
happy,gaming,dance,yellow,0
neutral,gaming,sing,white,0
happy,gaming,keep_still,yellow,1
neutral,idle,keep_still,white,-1
sad,gaming,dance,red,-1
happy,idle,dance,yellow,1
happy,study,dance,yellow,1
neutral,idle,keep_still,yellow,-1
sad,study,dance,yellow,-1
neutral,gaming,sing,white,0
neutral,study,pat_pat,yellow,0
happy,idle,sing,yellow,0
happy,study,sing,white,0
neutral,study,pat_pat,white,0
happy,study,keep_still,blue,-1
sad,idle,keep_still,white,-1
happy,gaming,keep_still,yellow,1
neutral,gaming,keep_still,blue,1
happy,idle,dance,yellow,1
sad,gaming,keep_still,blue,1
happy,idle,pat_pat,yellow,-1
neutral,idle,sing,white,0
sad,idle,pat_pat,red,0
sad,idle,dance,white,0
sad,study,pat_pat,white,1
happy,study,dance,blue,0
neutral,study,pat_pat,yellow,0
neutral,idle,pat_pat,blue,0
neutral,idle,dance,yellow,1
sad,study,keep_still,white,0
happy,gaming,pat_pat,yellow,-1
happy,idle,dance,red,1
neutral,idle,dance,blue,1
sad,idle,dance,yellow,0
sad,gaming,pat_pat,blue,1
happy,gaming,pat_pat,white,-1
neutral,gaming,dance,yellow,-1
neutral,study,keep_still,yellow,0
sad,gaming,keep_still,yellow,1
neutral,idle,sing,white,0
sad,idle,sing,red,-1
sad,idle,sing,blue,1
sad,gaming,pat_pat,yellow,1
happy,gaming,pat_pat,white,-1
sad,study,keep_still,white,0
sad,study,keep_still,blue,1
happy,gaming,dance,red,1
happy,idle,pat_pat,blue,-1
neutral,study,keep_still,red,0
neutral,gaming,pat_pat,red,0
happy,idle,keep_still,yellow,-1
sad,gaming,keep_still,white,1
neutral,study,pat_pat,white,0
happy,gaming,keep_still,blue,0
sad,idle,keep_still,blue,0
happy,study,sing,yellow,0
sad,idle,dance,red,-1
happy,study,keep_still,red,1
neutral,gaming,pat_pat,yellow,0
happy,study,dance,red,1
sad,study,dance,red,-1
neutral,gaming,dance,blue,-1
happy,idle,sing,white,0
happy,study,sing,yellow,0
neutral,gaming,keep_still,yellow,1
sad,idle,dance,blue,1
neutral,gaming,dance,blue,-1
happy,gaming,keep_still,blue,0
happy,study,keep_still,blue,-1
neutral,study,sing,blue,0
neutral,study,keep_still,yellow,0
happy,study,dance,yellow,1
neutral,study,keep_still,red,0
sad,gaming,sing,blue,1
neutral,idle,keep_still,white,-1
happy,study,dance,white,1
sad,study,dance,yellow,-1
neutral,idle,keep_still,red,-1
neutral,gaming,keep_still,blue,1
happy,idle,dance,yellow,1
sad,study,keep_still,red,-1
neutral,gaming,pat_pat,blue,0
neutral,gaming,dance,white,-1
neutral,study,dance,yellow,0
neutral,idle,keep_still,white,-1
sad,study,keep_still,blue,1
happy,gaming,pat_pat,red,0
happy,study,pat_pat,red,0
neutral,idle,keep_still,red,-1
sad,study,sing,yellow,0
happy,study,sing,red,1
neutral,idle,pat_pat,yellow,0
sad,gaming,dance,yellow,-1
neutral,study,sing,blue,0
neutral,gaming,dance,blue,-1
happy,gaming,dance,white,0
neutral,study,keep_still,yellow,0
sad,study,dance,red,-1
neutral,gaming,pat_pat,yellow,0
sad,study,pat_pat,red,0
neutral,study,keep_still,white,0
sad,idle,keep_still,red,-1
neutral,gaming,keep_still,yellow,1
sad,study,dance,yellow,-1
neutral,gaming,keep_still,blue,1
neutral,idle,pat_pat,blue,0
happy,study,pat_pat,white,-1
neutral,gaming,pat_pat,yellow,0
happy,gaming,keep_still,yellow,1
happy,gaming,dance,blue,-1
neutral,gaming,keep_still,blue,1
sad,study,sing,white,0
happy,gaming,dance,red,1
neutral,study,pat_pat,white,0
neutral,idle,dance,white,1
neutral,study,pat_pat,white,0
happy,study,keep_still,yellow,0
happy,study,pat_pat,white,-1
neutral,study,keep_still,white,0
happy,study,pat_pat,white,-1
neutral,gaming,keep_still,yellow,1
neutral,idle,pat_pat,white,0
neutral,study,pat_pat,blue,0
neutral,gaming,keep_still,white,1
sad,idle,pat_pat,yellow,1
happy,idle,dance,blue,1
sad,idle,pat_pat,red,0
sad,study,pat_pat,red,0
happy,study,pat_pat,white,-1
happy,study,pat_pat,white,-1
neutral,gaming,dance,white,-1
happy,study,pat_pat,red,0
neutral,idle,pat_pat,red,0
neutral,idle,dance,white,1
sad,study,pat_pat,white,1
neutral,gaming,pat_pat,yellow,0
sad,study,dance,yellow,-1
happy,gaming,keep_still,white,1
sad,idle,sing,white,0
neutral,study,dance,blue,0
happy,idle,dance,blue,1
sad,idle,pat_pat,white,1
sad,study,pat_pat,blue,1
happy,gaming,dance,white,0
sad,study,dance,blue,0
sad,study,sing,blue,1
happy,study,keep_still,red,1
sad,gaming,keep_still,white,1
sad,gaming,dance,blue,-1
happy,study,sing,blue,-1
neutral,study,sing,white,0
sad,gaming,dance,white,-1
happy,gaming,dance,yellow,0
sad,study,dance,white,-1
happy,gaming,pat_pat,red,0
sad,idle,dance,white,0
sad,study,pat_pat,red,0
happy,study,keep_still,blue,-1
sad,idle,dance,white,0
sad,gaming,pat_pat,yellow,1
happy,gaming,sing,blue,-1
happy,idle,dance,yellow,1
neutral,study,sing,yellow,0
sad,gaming,keep_still,blue,1
happy,idle,sing,red,1
neutral,gaming,sing,yellow,0
neutral,gaming,dance,blue,-1
neutral,idle,keep_still,red,-1
happy,study,pat_pat,yellow,-1
happy,study,keep_still,red,1
neutral,gaming,keep_still,yellow,1
sad,study,keep_still,white,0
neutral,study,keep_still,blue,0
sad,study,sing,red,-1
neutral,gaming,keep_still,blue,1
happy,idle,dance,blue,1
neutral,gaming,dance,yellow,-1
sad,gaming,keep_still,red,0
neutral,gaming,dance,white,-1
neutral,study,dance,yellow,0
sad,idle,dance,red,-1
happy,gaming,dance,yellow,0
sad,gaming,pat_pat,white,1
sad,study,pat_pat,yellow,1
happy,idle,keep_still,white,-1
neutral,study,dance,blue,0
neutral,study,pat_pat,white,0
neutral,gaming,pat_pat,blue,0
happy,study,sing,yellow,0
happy,gaming,keep_still,white,1
neutral,gaming,pat_pat,red,0
neutral,idle,pat_pat,red,0
sad,idle,sing,white,0
sad,gaming,dance,yellow,-1
happy,gaming,keep_still,yellow,1
sad,idle,pat_pat,blue,1
neutral,idle,pat_pat,white,0
sad,idle,pat_pat,blue,1
sad,study,pat_pat,yellow,1
happy,gaming,pat_pat,blue,-1
happy,gaming,keep_still,blue,0
neutral,study,sing,red,0
sad,gaming,dance,blue,-1
sad,idle,pat_pat,red,0
happy,gaming,keep_still,blue,0
happy,gaming,pat_pat,white,-1
neutral,study,sing,blue,0
sad,idle,pat_pat,red,0
happy,study,keep_still,yellow,0
happy,idle,pat_pat,yellow,-1
neutral,idle,dance,white,1
sad,study,dance,yellow,-1
sad,study,keep_still,yellow,0
happy,gaming,pat_pat,yellow,-1
happy,gaming,keep_still,yellow,1
neutral,study,sing,white,0
neutral,gaming,keep_still,white,1
sad,study,dance,white,-1
neutral,study,dance,blue,0
happy,idle,pat_pat,red,0
happy,gaming,pat_pat,white,-1
neutral,idle,keep_still,white,-1
happy,idle,keep_still,blue,-1
sad,study,keep_still,blue,1
sad,study,dance,blue,0
happy,study,dance,red,1
sad,gaming,pat_pat,yellow,1
happy,idle,dance,yellow,1
neutral,gaming,dance,white,-1
happy,gaming,dance,yellow,0
sad,idle,dance,blue,1
happy,study,keep_still,blue,-1
sad,idle,keep_still,yellow,-1
sad,study,keep_still,blue,1
happy,gaming,pat_pat,blue,-1
happy,study,keep_still,red,1
neutral,study,sing,yellow,0
sad,idle,keep_still,yellow,-1
sad,study,pat_pat,yellow,1
happy,study,sing,white,0
neutral,study,dance,yellow,0
neutral,idle,dance,red,1
happy,idle,pat_pat,yellow,-1
sad,idle,sing,white,0
sad,gaming,keep_still,red,0
happy,idle,dance,blue,1
neutral,gaming,dance,white,-1
neutral,gaming,keep_still,white,1
happy,study,dance,white,1
neutral,study,dance,red,0
happy,idle,pat_pat,yellow,-1
neutral,idle,dance,white,1
sad,gaming,sing,yellow,0
sad,idle,sing,white,0
happy,study,sing,red,1
sad,idle,sing,white,0
sad,idle,dance,red,-1
sad,idle,sing,red,-1
sad,idle,sing,white,0
sad,gaming,keep_still,red,0
happy,idle,dance,blue,1
happy,gaming,keep_still,yellow,1
neutral,idle,dance,blue,1
happy,study,sing,white,0
happy,idle,sing,red,1
neutral,gaming,dance,white,-1
neutral,study,sing,blue,0
neutral,gaming,dance,red,-1
happy,idle,sing,white,0
neutral,idle,sing,red,0
sad,study,pat_pat,yellow,1
neutral,gaming,dance,white,-1
sad,study,sing,blue,1
neutral,idle,sing,blue,0
sad,gaming,dance,blue,-1
happy,gaming,dance,red,1
neutral,idle,sing,white,0
happy,gaming,pat_pat,blue,-1
neutral,study,dance,white,0
sad,study,dance,white,-1
happy,study,sing,white,0
neutral,gaming,sing,blue,0
happy,gaming,keep_still,yellow,1
happy,idle,keep_still,red,0
neutral,study,sing,white,0
neutral,study,keep_still,yellow,0
sad,gaming,sing,red,-1
neutral,gaming,keep_still,yellow,1
sad,gaming,pat_pat,red,0
neutral,gaming,pat_pat,blue,0
sad,idle,keep_still,yellow,-1
happy,study,dance,blue,0
neutral,study,sing,yellow,0
happy,idle,pat_pat,white,-1
happy,idle,keep_still,yellow,-1
sad,idle,dance,blue,1
sad,study,keep_still,red,-1
happy,idle,dance,yellow,1
neutral,gaming,pat_pat,yellow,0
sad,study,dance,yellow,-1
happy,idle,pat_pat,yellow,-1
happy,study,keep_still,white,0
neutral,idle,keep_still,yellow,-1
sad,gaming,pat_pat,blue,1
neutral,idle,pat_pat,yellow,0
happy,gaming,dance,blue,-1
sad,study,pat_pat,yellow,1
happy,idle,dance,blue,1
happy,study,sing,white,0
neutral,idle,dance,red,1
happy,study,sing,blue,-1
sad,study,dance,yellow,-1
happy,study,pat_pat,white,-1
sad,gaming,pat_pat,yellow,1
sad,idle,keep_still,blue,0
happy,gaming,pat_pat,white,-1
happy,study,keep_still,yellow,0
neutral,gaming,keep_still,blue,1
happy,study,dance,red,1
happy,idle,sing,yellow,0
neutral,idle,dance,yellow,1
sad,idle,keep_still,red,-1
sad,gaming,keep_still,white,1
happy,gaming,pat_pat,white,-1
neutral,idle,keep_still,red,-1
sad,idle,pat_pat,yellow,1
sad,idle,sing,yellow,0
sad,study,sing,white,0
happy,study,keep_still,blue,-1
neutral,gaming,keep_still,yellow,1
sad,gaming,sing,blue,1
happy,idle,sing,blue,-1
happy,idle,keep_still,white,-1
sad,study,pat_pat,red,0
happy,idle,dance,yellow,1
sad,idle,dance,yellow,0
sad,gaming,dance,blue,-1
happy,gaming,keep_still,red,1
neutral,gaming,keep_still,red,1
neutral,study,pat_pat,white,0
happy,gaming,pat_pat,red,0
neutral,idle,keep_still,red,-1
neutral,gaming,sing,blue,0
neutral,gaming,sing,blue,0
happy,study,pat_pat,red,0
sad,idle,dance,yellow,0
happy,study,dance,white,1
neutral,study,sing,yellow,0
neutral,gaming,sing,red,0
happy,idle,sing,yellow,0
happy,gaming,pat_pat,red,0
neutral,gaming,pat_pat,blue,0
sad,gaming,pat_pat,red,0
sad,study,pat_pat,blue,1
happy,gaming,sing,red,1
sad,idle,sing,red,-1
happy,idle,dance,white,1
sad,gaming,keep_still,yellow,1
sad,idle,keep_still,yellow,-1
happy,study,keep_still,white,0
neutral,idle,dance,white,1
sad,study,pat_pat,red,0
happy,idle,keep_still,red,0
sad,study,keep_still,blue,1
neutral,gaming,pat_pat,red,0
neutral,gaming,sing,white,0
happy,gaming,sing,red,1
neutral,gaming,pat_pat,red,0
happy,study,pat_pat,white,-1
happy,gaming,sing,white,0
neutral,idle,sing,red,0
sad,study,pat_pat,blue,1
happy,idle,keep_still,red,0
neutral,idle,dance,yellow,1
sad,idle,pat_pat,red,0
sad,study,pat_pat,yellow,1
happy,study,pat_pat,red,0
happy,idle,dance,red,1
neutral,idle,sing,blue,0
sad,study,pat_pat,yellow,1
sad,gaming,pat_pat,red,0
happy,gaming,sing,blue,-1
sad,idle,keep_still,blue,0
happy,gaming,sing,red,1
happy,gaming,keep_still,blue,0
neutral,idle,dance,red,1
sad,gaming,dance,yellow,-1
neutral,study,sing,yellow,0
neutral,idle,keep_still,white,-1
sad,study,sing,blue,1
happy,gaming,keep_still,red,1
neutral,gaming,dance,red,-1
neutral,study,sing,white,0
neutral,gaming,keep_still,red,1
sad,gaming,sing,red,-1
neutral,gaming,pat_pat,red,0
happy,study,dance,white,1
sad,gaming,keep_still,white,1
neutral,idle,dance,yellow,1
sad,idle,dance,red,-1
sad,study,sing,yellow,0
happy,study,keep_still,white,0
neutral,idle,dance,blue,1
happy,study,sing,red,1
neutral,idle,dance,red,1
sad,idle,dance,yellow,0
sad,idle,dance,white,0
sad,gaming,sing,blue,1
happy,idle,dance,yellow,1
neutral,study,dance,yellow,0
neutral,idle,dance,blue,1
neutral,study,pat_pat,white,0
sad,idle,dance,white,0
neutral,gaming,pat_pat,blue,0
happy,gaming,keep_still,white,1
neutral,study,sing,yellow,0
neutral,gaming,dance,white,-1
neutral,idle,pat_pat,yellow,0
happy,study,pat_pat,yellow,-1
sad,idle,keep_still,white,-1
neutral,study,dance,red,0
sad,study,dance,blue,0
sad,gaming,sing,yellow,0
happy,gaming,dance,yellow,0
neutral,study,sing,red,0
happy,gaming,pat_pat,yellow,-1
sad,gaming,sing,white,0
sad,study,keep_still,yellow,0
happy,study,sing,white,0
neutral,idle,dance,blue,1
happy,gaming,dance,red,1
sad,study,sing,red,-1
sad,idle,sing,yellow,0
happy,gaming,dance,blue,-1
sad,gaming,sing,red,-1
happy,idle,keep_still,red,0
sad,study,dance,yellow,-1
sad,idle,sing,yellow,0
happy,idle,sing,white,0
sad,idle,sing,yellow,0
sad,gaming,sing,blue,1
happy,idle,dance,white,1
sad,idle,sing,blue,1
sad,study,keep_still,yellow,0
happy,study,pat_pat,red,0
sad,study,keep_still,yellow,0
sad,gaming,dance,yellow,-1
happy,idle,sing,red,1
happy,study,keep_still,white,0
neutral,study,keep_still,white,0
sad,study,keep_still,blue,1
neutral,gaming,sing,white,0
neutral,gaming,dance,red,-1
neutral,study,dance,yellow,0
happy,idle,sing,red,1
happy,idle,pat_pat,white,-1
sad,study,dance,blue,0
neutral,gaming,keep_still,white,1
sad,gaming,dance,red,-1
neutral,study,pat_pat,red,0
neutral,study,pat_pat,red,0
sad,idle,pat_pat,blue,1
sad,study,dance,red,-1
happy,gaming,keep_still,red,1
neutral,gaming,dance,blue,-1
happy,idle,sing,yellow,0
sad,idle,sing,red,-1
sad,idle,pat_pat,yellow,1
sad,study,sing,blue,1
happy,gaming,pat_pat,white,-1
neutral,idle,dance,red,1
neutral,study,pat_pat,yellow,0
sad,gaming,pat_pat,red,0
neutral,gaming,sing,blue,0
happy,idle,keep_still,red,0
neutral,idle,sing,red,0
sad,gaming,dance,blue,-1
sad,study,keep_still,yellow,0
happy,idle,pat_pat,blue,-1
neutral,idle,sing,yellow,0
sad,gaming,sing,yellow,0
happy,idle,dance,yellow,1
sad,idle,pat_pat,yellow,1
sad,study,keep_still,blue,1
happy,study,sing,red,1
happy,study,sing,yellow,0
neutral,gaming,dance,blue,-1
neutral,study,pat_pat,white,0
sad,gaming,sing,red,-1
neutral,study,dance,blue,0
sad,gaming,dance,yellow,-1
neutral,idle,sing,white,0
happy,gaming,sing,white,0
sad,study,dance,red,-1
sad,study,keep_still,blue,1
happy,idle,sing,white,0
sad,idle,dance,red,-1
sad,study,dance,white,-1
happy,gaming,keep_still,red,1
neutral,study,pat_pat,blue,0
sad,study,sing,yellow,0
sad,idle,keep_still,red,-1
happy,gaming,keep_still,yellow,1
sad,idle,pat_pat,blue,1
sad,idle,dance,yellow,0
sad,idle,sing,white,0
sad,gaming,pat_pat,blue,1
happy,study,sing,white,0
happy,idle,sing,red,1
neutral,study,pat_pat,yellow,0
sad,gaming,dance,red,-1
happy,gaming,dance,red,1
happy,idle,sing,yellow,0
neutral,idle,keep_still,blue,-1
sad,idle,keep_still,red,-1
sad,study,dance,yellow,-1
happy,gaming,sing,blue,-1
happy,idle,dance,blue,1
neutral,gaming,pat_pat,red,0
happy,study,pat_pat,red,0
sad,gaming,pat_pat,white,1
sad,study,keep_still,blue,1
happy,study,keep_still,yellow,0
neutral,gaming,pat_pat,white,0
neutral,idle,pat_pat,white,0
happy,study,sing,white,0
sad,idle,pat_pat,red,0
happy,idle,dance,red,1
sad,gaming,pat_pat,yellow,1
sad,gaming,dance,blue,-1
happy,idle,pat_pat,red,0
sad,idle,sing,blue,1
sad,study,dance,yellow,-1
happy,study,keep_still,blue,-1
sad,gaming,dance,blue,-1
neutral,idle,dance,white,1
happy,idle,sing,blue,-1
sad,idle,sing,white,0
sad,study,sing,blue,1
happy,idle,dance,white,1
happy,gaming,dance,blue,-1
neutral,study,dance,white,0
happy,gaming,dance,yellow,0
sad,idle,sing,red,-1
happy,study,sing,yellow,0
sad,study,keep_still,yellow,0
neutral,study,pat_pat,red,0
sad,gaming,dance,white,-1
sad,study,pat_pat,red,0
happy,gaming,dance,yellow,0
happy,idle,dance,red,1
neutral,gaming,pat_pat,white,0
sad,idle,pat_pat,white,1
neutral,idle,sing,yellow,0
sad,study,keep_still,red,-1
happy,gaming,pat_pat,yellow,-1
neutral,gaming,pat_pat,yellow,0
neutral,gaming,pat_pat,red,0
sad,study,dance,yellow,-1
happy,gaming,pat_pat,red,0
neutral,gaming,pat_pat,red,0
sad,gaming,pat_pat,blue,1
happy,study,keep_still,red,1
sad,study,pat_pat,white,1
happy,gaming,sing,blue,-1
sad,study,sing,red,-1
sad,idle,dance,yellow,0
happy,study,sing,blue,-1
happy,study,sing,yellow,0
neutral,gaming,sing,blue,0
sad,idle,sing,red,-1
sad,gaming,keep_still,red,0
happy,idle,pat_pat,yellow,-1
sad,gaming,pat_pat,yellow,1
neutral,idle,keep_still,white,-1
happy,gaming,keep_still,white,1
happy,study,sing,red,1
neutral,idle,dance,red,1
happy,idle,sing,blue,-1
sad,study,pat_pat,white,1
happy,study,pat_pat,red,0
sad,idle,keep_still,yellow,-1
neutral,idle,keep_still,white,-1
sad,idle,keep_still,red,-1
sad,study,keep_still,blue,1
happy,gaming,pat_pat,red,0
sad,idle,pat_pat,blue,1
happy,idle,keep_still,yellow,-1
sad,gaming,pat_pat,blue,1
happy,gaming,sing,white,0
happy,study,pat_pat,white,-1
neutral,gaming,sing,blue,0
sad,idle,sing,white,0
neutral,study,pat_pat,blue,0
neutral,idle,keep_still,white,-1
sad,gaming,sing,blue,1
sad,gaming,pat_pat,yellow,1
happy,idle,keep_still,yellow,-1
sad,gaming,pat_pat,red,0
happy,study,sing,red,1
neutral,gaming,dance,red,-1
sad,study,pat_pat,red,0
happy,gaming,dance,white,0
neutral,idle,sing,white,0
happy,study,keep_still,blue,-1
sad,idle,pat_pat,blue,1
sad,gaming,keep_still,yellow,1
happy,gaming,keep_still,white,1
neutral,gaming,pat_pat,white,0
happy,gaming,sing,blue,-1
sad,gaming,pat_pat,yellow,1
happy,gaming,keep_still,red,1
neutral,idle,pat_pat,yellow,0
happy,idle,dance,blue,1
